depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
20,41,34.5,202,0,191.3,22,161.6,60.5,359.7,6.1,11.5,77.6,11.3,11,0,45.4,78.4,8.7,16.3,68.9,863.2,932.1
35,41,34.5,202,0,294.2,25.6,172.6,67.2,404.2,8.4,7.9,43.3,12.7,6.7,0,37.9,159.3,14.2,15.2,104.3,941,1045.3
50,41,34.5,202,0,98.2,10.6,103.3,50.7,213,7.3,3.4,18.7,6.6,3.3,0,21.7,97.8,9,9.2,67.2,511.6,578.8
65,41,34.5,202,0,46,5.8,68.8,40.3,149.1,6.7,2.5,13.7,4.6,2.3,0,16.3,72.5,6.2,7.7,49.6,366.7,416.3
80,41,34.5,202,0,29.4,3.4,49.1,30.7,111.5,4.2,1.8,9.4,3.6,1.5,0,14.3,47,5,6.2,31.1,281.8,313
100,41,34.5,202,0,0,0,13,10.2,24,0,0,2.4,0,0,0,3.8,8.1,1.1,1.3,3.3,74.1,77.5
125,41,34.5,202,0,0,0,4.7,1.1,6.8,0,0,0,0,0,0,0,4.9,0,0,0,24.1,24.1
150,41,34.5,202,0,0,0,2,0,2.2,0,0,0,0,0,0,0,0,0,0,0,10.2,10.2
200,41,34.5,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1
0,40,34.75,202,3.6,48.9,2.9,78.5,43.1,128.6,2.3,3.2,62.5,0,5.2,3.6,21,26.6,2.7,8.6,13.8,362.8,376.6
20,40,34.75,202,6.3,88.6,9.1,95,54.6,199.6,2.4,6,42.3,1.8,7.9,4.7,21.9,50.6,4.8,10.2,19.2,495.6,514.8
35,40,34.75,202,5.6,87.3,20.7,112.7,65.8,251.4,4.6,7.5,29.9,1.5,8.8,5.9,26.2,105.7,8.9,11.5,49.1,636.3,685.4
50,40,34.75,202,0,158.1,28,145.7,78.3,313.2,5.2,7.7,32.1,0,11,5.4,24.4,113.9,9.9,12.4,59.1,794.5,853.6
65,40,34.75,202,3.6,154.6,21.3,127.9,76.3,283.4,4.4,4.2,28.3,1.4,10.5,4.7,18.6,97.4,9.3,11.3,53.1,683.9,737
