depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
35,43,35.25,202,11,82.3,4.7,63,20.1,120.6,-9999,2.6,14.2,0,2.5,7,90,62.6,14.2,6.4,158.3,214.7,373
50,43,35.25,202,18.5,69.1,4.4,73.9,22,142,-9999,2.3,13.5,0,0,6,71.6,69.4,16.2,7.3,164.5,256.8,421.3
65,43,35.25,202,17.9,89.2,4.7,79.9,23.5,147.8,-9999,1.8,13.3,0,1.5,3.4,79.2,66.8,16.5,6.1,171.9,263.4,435.3
80,43,35.25,202,17.4,59.6,3.9,68.5,18.9,130.2,-9999,2,10.9,0,1.2,4.2,59,57.9,14.2,5.5,130.1,242.8,372.8
100,43,35.25,202,0,46.7,0,39.8,10.3,60.3,-9999,0,5.7,0,0,0,7.6,53.9,1.3,1,20.2,159.7,179.9
125,43,35.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,43,35.25,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,43,35.25,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,7.6,0,0,8,0,8
0,42,35.5,202,0,36.6,2.5,41,12.3,92,-9999,0,16,0,3.4,2.3,62.3,55.5,10,4.5,149.7,193.8,343.5
20,42,35.5,202,21.9,62.9,3.5,69.9,23.6,133.1,-9999,3.6,39.7,0,7.2,4.4,100.9,66.7,14.4,9.1,167.4,241.2,408.6
35,42,35.5,202,11.4,49.3,3.4,64.2,22.6,137.7,-9999,3.6,31,0,3.7,3,93.6,61.1,14.4,7.6,165.2,230.4,395.6
50,42,35.5,202,18.7,60.5,5.9,89.1,17.6,154.1,-9999,2.3,10.7,0,0,0,54.8,93.8,15.4,5.8,182.2,235.8,418
65,42,35.5,202,0,56.3,3,101,19.6,141.6,-9999,3,9.4,0,0,0,32.6,94.5,11,4.5,135.8,252.7,388.5
80,42,35.5,202,0,22.4,2.9,46.8,9.2,53.2,-9999,0,5.6,0,0,0,4.2,42.1,2.9,2.3,35.8,161.7,197.5
100,42,35.5,202,0,11.6,0,33.1,7.3,36.1,-9999,0,3.8,0,0,0,3.7,25.8,2.1,1.3,23.9,93.1,117
125,42,35.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,42,35.5,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,42,35.5,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,9.6,0,0,6.2,1.6,7.8
0,41,35.75,202,19.3,57.2,5.5,79.8,20.4,175.9,-9999,2.2,45.2,0,8.6,0,76.5,46,11.2,8.7,145.9,304.9,450.8
20,41,35.75,202,0,65.8,4.3,68,18.3,158.8,-9999,2.5,23.3,0,2.1,0,58.4,49.2,9.6,6.1,148,294.9,442.9
35,41,35.75,202,0,49.2,4.8,57.1,16.2,145.8,-9999,2.5,19.1,0,2.3,0,50.9,48.8,9.1,5.3,131,281.4,412.4
50,41,35.75,202,0,83.5,6.9,82.2,19,165,-9999,3.2,18.8,0,0,0,54.8,65,10.9,6.3,140,285,425.1
65,41,35.75,202,0,51.4,5.4,89,16,113.9,-9999,2.9,9.9,0,0,0,14.2,60.9,6.3,4.6,68.8,249.1,318
80,41,35.75,202,0,20.5,1.5,41.5,9.3,43.9,-9999,0,4.3,0,0,0,4.9,28.5,2.5,1.8,21.6,125.7,147.3
100,41,35.75,202,0,4.3,0,14.1,3.4,21.5,-9999,0,2.2,0,0,0,4,33.2,4.5,0.4,23.3,43.9,67.3
125,41,35.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,41,35.75,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,41,35.75,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,2.9,3.2,6.1
0,40,36,202,0,20.6,3,35.8,11.3,73,-9999,1.3,5.3,0,0,0,4.2,39.2,2.5,2.1,19.7,170.5,190.2
20,40,36,202,0,47.6,0,55.7,18.6,82.7,-9999,4,20.9,0,3,3.6,50.7,35.3,5.8,6,84.2,190.3,274.4
35,40,36,202,0,41.2,0,52.3,15.9,64.7,-9999,3.6,11.9,0,0,0,34.7,33.9,3.7,2.4,61.7,158.1,219.8
50,40,36,202,0,36.5,7.8,50.6,11.7,69.1,-9999,3.7,6.4,0,0,2.3,9.8,69,3,3.2,49.1,199.8,248.9
65,40,36,202,0,49,0,58.2,18.9,82.4,-9999,3.6,24.1,0,3.9,3.2,49.6,33.3,5.2,5.8,68.7,198.7,267.4
80,40,36,202,0,6.8,0,12.4,6.2,26,-9999,0,2.5,0,0,0,1.9,26.4,0.9,0.6,17.9,60.3,78.2
100,40,36,202,0,0,0,4.3,1.9,8.1,-9999,0,0,0,0,0,1.3,16.6,0.6,0,6.2,26.6,32.8
125,40,36,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
150,40,36,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200,40,36,202,0,0,0,0,0,0,-9999,0,0,0,0,0,0,9.7,0,0,6.1,1.9,8
